zenodo_id,doi,title,publication_date,access_right
15679173,10.11591/ijece.v15i3.pp2820-2833,Genetic algorithm-adapted activation function optimization of  deep learning framework for breast mass cancer classification  in mammogram images,2025-06-01,open
14553484,10.3390/ app112412122,Breast Cancer Detection Using Mammogram Images with Improved Multi-Fractal Dimension Approach and Feature Fusion,2021-12-20,open
1195615,10.5281/zenodo.1195615,A Single Sided Edge Marking Method for Detecting Pectoral Muscle in Digital Mammograms,2018-02-20,open
14769221,10.5281/zenodo.14769221,Breast cancer dataset,2025-01-30,open
903684,10.1016/j.artmed.2017.06.001,Fully automated breast boundary and pectoral muscle segmentation in mammograms,2017-06-09,open
