zenodo_id,doi,title,publication_date,access_right
14201693,10.5281/zenodo.14201693,IMA++: ISIC Archive Multi-Annotator Dermoscopic Skin Lesion Segmentation Dataset,2024-08-05,open
17470940,10.5281/zenodo.17470940,Fitz Selected: Seven-Class Skin Lesion Subset for Domain Adaptation Research,2025-10-29,open
13694709,10.5281/zenodo.13694709,Skin melanoma detection and classification with deep learning,2024-07-30,open
7785879,10.5281/zenodo.7785879,3: Skin Lesion Images for Melanoma Classification (ISIC),2023-03-30,restricted
7715211,10.5281/zenodo.7715211,3: Skin Lesion Images for Melanoma Classification (ISIC),2023-03-10,restricted
3264023,10.5281/zenodo.3264023,Skin Lesion Detection by Android Camera based on SSD- Mobilenet and TensorFlow Object Detection API,2019-07-01,open
18474110,10.5281/zenodo.18474110,Dermatological Diagnosis using EfficientNet,2026-02-03,open
7725853,10.5281/zenodo.7725853,2: Skin Lesion Images for Melanoma Classification (ISIC),2023-03-10,restricted
