TCGA-BH-A18H,TCGA-E2-A14P,TCGA-AN-A04A,TCGA-5L-AAT1,TCGA-GI-A2C8,TCGA-AQ-A0Y5,TCGA-A8-A07I,TCGA-E9-A1R4,TCGA-AC-A8OP,TCGA-AR-A24Q,TCGA-D8-A1XU,TCGA-AO-A03N
231.8051,312.044,229.5235,88.4905,32.2821,413.4431,426.8607,99.3355,511.8662,220.9383,347.6677,64.3741
43.8542,148.4199,64.4916,72.4381,20.1485,66.7907,69.0456,67.8535,39.9247,64.9031,46.3849,22.6164
48.4033,24.3935,18.8159,41.0221,9.4903,28.2365,55.8082,41.8621,60.5266,20.321,26.0591,8.537
4.3961,9.7659,2.9323,9.1517,1.1696,7.5248,2.8757,3.9187,5.448,7.0085,3.0158,1.8894
18.1737,19.1559,22.3012,14.6838,10.0301,47.8684,33.8292,28.5382,19.5432,57.4217,35.7469,3.0709
5.3091,9.0208,5.6295,11.4037,7.1629,11.735,8.5773,10.4061,13.25,13.378,7.8038,4.8329
0.6709,4.8242,0.9881,5.8001,687.6761,1.3683,1.7982,2.4076,11.7961,0.6557,1.2662,5.831
7.0781,5.591,2.8767,7.2561,0.747,2.3368,4.9942,8.6941,19.5348,6.4474,6.201,1.3982
101.9013,134.4458,121.5399,133.9229,160.4147,196.4994,74.2047,217.9887,74.7903,147.6943,141.3933,114.9566
6.4115,23.2522,19.7486,11.5608,1069.7323,22.8147,13.8425,21.9389,34.096,7.2249,4.73,3.8308
0.0,0.0,0.1282,0.0,0.0,0.1112,0.0626,0.0186,0.0913,0.0844,0.0215,0.0
24.5731,14.2789,2.4281,81.5092,0.1806,4.7917,4.5465,5.8982,20.4695,1.5326,10.709,16.2979
0.0078,0.0359,0.1028,1.4758,0.0714,0.2079,0.0617,0.1967,0.2216,0.0153,0.0181,0.016
0.1161,1.3461,0.2414,2.0352,8.5316,6.9773,0.9956,0.0468,3.208,0.0454,8.021,1.0207
7.1708,46.7719,17.7055,12.2995,2.9994,62.1949,18.9774,17.3315,27.0711,32.1331,14.6303,11.1073
6.99,12.9176,8.6758,11.9343,3.5914,11.6241,12.4512,7.4315,9.0343,15.2723,18.3456,10.6015
22.671,18.1061,31.5505,26.5824,23.3084,45.9306,29.2666,49.6207,35.5657,32.9379,30.4198,12.6028
0.0141,0.013,0.0098,0.1374,0.1764,0.0363,0.1751,0.0,0.3481,0.0,0.0655,0.0
0.1027,1.0716,0.0949,0.3336,1.1531,0.6469,0.0773,0.4829,0.2113,0.4574,0.3381,0.035
41.3764,32.1175,41.8075,48.9294,44.6438,44.3261,40.1125,28.1893,34.2619,42.1159,34.812,17.1461
14.0619,32.4486,16.055,30.4385,4.4701,15.3882,11.3612,18.1468,19.7802,45.9596,10.4217,8.8002
14.0704,23.9739,7.356,15.1235,0.0,34.7886,10.7796,68.7877,52.6791,14.2846,17.6966,9.7511
57.519,83.2291,43.1733,61.6051,16.4278,41.1583,71.1246,67.4939,96.2805,67.1113,66.7262,15.1315
12.595,8.365,13.7295,15.9989,10.9362,20.6579,22.1572,22.2086,13.6596,26.5248,31.3998,2.8058
373.0409,459.5848,952.54,473.9565,37.5918,667.3661,422.1852,317.6438,424.1219,437.9078,812.2538,313.6084
19.7255,31.9107,12.2901,46.0346,1.9466,20.6402,28.3188,17.5546,23.9359,17.3169,12.3633,9.7515
0.1896,0.1246,0.4318,1.7413,1.8892,1.1629,1.1921,0.2183,0.6015,2.3824,1.4627,1.3155
48.4976,136.704,51.9168,109.3439,61.4129,61.6655,30.1044,44.1218,88.9977,87.7722,39.0045,123.3116
12.3881,17.1596,14.8696,12.5048,5.9348,20.2458,15.037,12.5664,14.7144,37.7772,11.7836,5.899
